,Unnamed: 0,name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,neighborhood,postalCode,state,id,Checkin TipCount,venue price,venue price index,venue rating
4,4,Havet,Turkish Restaurant,195-199 High St,GB,Bromley,United Kingdom,,797,"['195-199 High St', 'Bromley', 'Greater London', 'BR1 1NN', 'United Kingdom']","[{'label': 'display', 'lat': 51.40618386892237, 'lng': 0.01352165486780187}]",51.40618386892237,0.01352165486780187,,BR1 1NN,Greater London,50cf7f97e4b044ef7b70cefb,20.0,Moderate,2.0,8.0
6,6,wagamama,Asian Restaurant,,GB,Bromley,United Kingdom,,831,"['Bromley', 'Greater London', 'BR1 1DN', 'United Kingdom']","[{'label': 'display', 'lat': 51.40402480473292, 'lng': 0.017960071563720703}]",51.40402480473292,0.017960071563720703,,BR1 1DN,Greater London,5780ed59498e131cf59f8599,2.0,Moderate,2.0,7.8
12,12,Nando's,Portuguese Restaurant,9 Widmore Rd,GB,Bromley,United Kingdom,,696,"['9 Widmore Rd', 'Bromley', 'Greater London', 'BR1 1RL', 'United Kingdom']","[{'label': 'display', 'lat': 51.4059810423179, 'lng': 0.01608245968574302}]",51.4059810423179,0.016082459685743018,,BR1 1RL,Greater London,4b02eb36f964a520014b22e3,15.0,Moderate,2.0,7.4
29,29,Tamasha,Indian Restaurant,131 Widmore Rd.,GB,Bromley,United Kingdom,at Homefield Rd.,580,"['131 Widmore Rd. (at Homefield Rd.)', 'Bromley', 'Greater London', 'BR1 3AX', 'United Kingdom']","[{'label': 'display', 'lat': 51.40694908851223, 'lng': 0.027044476224484457}]",51.40694908851223,0.027044476224484457,,BR1 3AX,Greater London,4b81547bf964a520c19f30e3,5.0,Moderate,2.0,6.9
38,38,Madisons,American Restaurant,32 Homesdale Rd,GB,Bromley Town,United Kingdom,,1655,"['32 Homesdale Rd', 'Bromley Town', 'Greater London', 'BR2 9LD', 'United Kingdom']","[{'label': 'display', 'lat': 51.39683, 'lng': 0.028778}]",51.39683,0.028778,,BR2 9LD,Greater London,50536ce4e4b0e932c8071e55,3.0,Moderate,2.0,7.2
51,51,KFC,Fast Food Restaurant,496 Bromley Rd,GB,Kent,United Kingdom,,2276,"['496 Bromley Rd', 'Kent', 'BR1 4PB', 'United Kingdom']","[{'label': 'display', 'lat': 51.423778015946446, 'lng': -0.00377655029296875}]",51.42377801594645,-0.00377655029296875,,BR1 4PB,Kent,4c54daacb426ef3b8b53948a,1.0,Cheap,1.0,5.9
55,55,The Best Kebab Kingdom,Fast Food Restaurant,293 Baring Rd,GB,Grove Park,United Kingdom,,2223,"['293 Baring Rd', 'Grove Park', 'Greater London', 'SE1 2 9', 'United Kingdom']","[{'label': 'display', 'lat': 51.431029423976234, 'lng': 0.020856857299804688}]",51.43102942397624,0.020856857299804688,,SE1 2 9,Greater London,4bfc12f71be376b0bc1ff8b4,2.0,Cheap,1.0,
56,56,Rising Sun,Chinese Restaurant,356 Baring Rd.,GB,Grove Park,United Kingdom,,2251,"['356 Baring Rd.', 'Grove Park', 'Greater London', 'SE12 0DU', 'United Kingdom']","[{'label': 'display', 'lat': 51.431296981593235, 'lng': 0.021822452545166016}]",51.43129698159325,0.021822452545166016,,SE12 0DU,Greater London,4b37979ff964a520b04225e3,1.0,Cheap,1.0,
57,57,The Grove Indian,Indian Restaurant,350 Baring Rd.,GB,London,United Kingdom,,2266,"['350 Baring Rd.', 'London', 'Greater London', 'SE12 0DU', 'United Kingdom']","[{'label': 'display', 'lat': 51.431424, 'lng': 0.021171}]",51.431424,0.021171,,SE12 0DU,Greater London,51f32afd5a23d5667130d85d,0.0,Cheap,1.0,
70,70,wagamama,Asian Restaurant,,GB,Bromley,United Kingdom,,1746,"['Bromley', 'Greater London', 'BR1 1DN', 'United Kingdom']","[{'label': 'display', 'lat': 51.40402480473292, 'lng': 0.017960071563720703}]",51.40402480473292,0.017960071563720703,,BR1 1DN,Greater London,5780ed59498e131cf59f8599,2.0,Moderate,2.0,7.8
